school_id,school_name,school_level,office_of_education_name,road_address
B000013582,북삼고등학교,고등학교,경상북도교육청,경상북도 칠곡군 북삼읍 북삼로2길 130
B000013368,해성고등학교,고등학교,경상남도교육청,경상남도 거제시 두모길 4
B000013182,문화고등학교,고등학교,경상북도교육청,경상북도 경주시 충현로 98
B000012601,송산고등학교,고등학교,경기도교육청,경기도 화성시 송산면 송산포도로 102-21
B000011539,남양주고등학교,고등학교,경기도교육청,경기도 남양주시 화도읍 경춘로2192번길 25
B000012599,화성고등학교,고등학교,경기도교육청,경기도 화성시 향남읍 장짐길 4
B000024675,이솔고등학교,고등학교,경기도교육청,경기도 화성시 동탄대로 7길 10
B000013166,포항중앙고등학교,고등학교,경상북도교육청,경상북도 포항시 북구 소티재로151번길 11
B000011813,부산센텀여자고등학교,고등학교,부산광역시교육청,부산광역시 해운대구 해운대로469번길 50-1
B000022819,내손고등학교,고등학교,경기도교육청,경기도 의왕시 내손순환로 51
B000013332,진서고등학교,고등학교,경상남도교육청,경상남도 진주시 수곡면 옥수로 625
B000012832,간동고등학교,고등학교,강원특별자치도교육청,강원특별자치도 화천군 간동면 파로호로 945-21
B000012826,사북고등학교,고등학교,강원특별자치도교육청,강원특별자치도 정선군 사북읍 소금강로 3640
B000012565,장곡고등학교,고등학교,경기도교육청,경기도 시흥시 장곡로70번길 8
B000012348,첨단고등학교,고등학교,광주광역시교육청,광주광역시 광산구 산월로 12-17
B000011387,부일전자디자인고등학교,고등학교,부산광역시교육청,부산광역시 사하구 감천로73번길 36
B000011769,거제여자상업고등학교,고등학교,경상남도교육청,경상남도 거제시 거제면 동상3길 21
B000027488,경북과학고등학교,고등학교,경상북도교육청,경상북도 포항시 남구 지곡로 130
B000013360,밀양고등학교,고등학교,경상남도교육청,경상남도 밀양시 약산로 15
B000012503,관양고등학교,고등학교,경기도교육청,경기도 안양시 동안구 일동로 115
B000011335,서울영상고등학교,고등학교,서울특별시교육청,서울특별시 양천구 목동로11길 46
B000012530,대부고등학교,고등학교,경기도교육청,경기도 안산시 단원구 대부중앙로 3
B000011506,안산공업고등학교,고등학교,경기도교육청,경기도 안산시 상록구 안산공고로 51
B000011501,경기모바일과학고등학교,고등학교,경기도교육청,경기도 안산시 상록구 남산평길 35
B000012605,성호고등학교,고등학교,경기도교육청,경기도 오산시 동부대로436번길 46
B000012834,양구고등학교,고등학교,강원특별자치도교육청,강원특별자치도 양구군 양구읍 중심로 115
B000011715,김천생명과학고등학교,고등학교,경상북도교육청,경상북도 김천시 부거리길 310
B000013185,한국국제통상마이스터고등학교,고등학교,경상북도교육청,경상북도 경주시 감포읍 감포로12길 20
